Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3287,0,380,357.1832411184993,9.426458738744259,471.69474977999926,94.50258594463037,113.27271233287067,0.0,380,400,400,410,420,430,440,450,460,470,470
,Aggregated,3287,0,380,357.1832411184993,9.426458738744259,471.69474977999926,94.50258594463037,113.27271233287067,0.0,380,400,400,410,420,430,440,450,460,470,470
