model,device,p50_ms,p95_ms,p99_ms,size_mb
baseline,mps,23.18983292207122,23.8778984406963,24.563602483831342,346.328135
fp16_mps,mps,22.66510436311364,23.430593544617295,23.973703975789245,173.192839
pruned_25_fp32,mps,21.180270239710808,21.273442008532584,21.386769274249673,317.98853
baseline_onnx,cpu,42.08650067448616,43.233044538646936,44.35479970648885,
pruned_25_onnx,cpu,38.70958345942199,41.025703842751675,42.527689631097,
pruned_25_fp16_mps,mps,20.004708087071776,20.155694289132953,20.85517081432044,159.023239
